Уровень образования;Кафедра;Название программы;Вид обучения;Форма обучения;Даты проведения;Количество часов;Кто может учиться;Подать заявку
Среднее профессиональное;Кафедра гигиены и медицинской экологии;Профилактика инфекций, связанных с оказанием медицинской помощи;повышение квалификации;Очная;08.02.2027-13.02.2027<br>12.04.2027-17.04.2027<br>21.06.2027-26.06.2027<br>20.09.2027-25.09.2027<br>22.11.2027-27.11.2027;36;Гигиена и санитария, Акушерское дело, Анестезиология и реаниматология, Бактериология, Гигиеническое воспитание, Гистология, Дезинфекционное дело, Диетология, Лабораторная диагностика, Лабораторное дело, Лечебная физкультура, Лечебное дело, Медико-профилактическое дело, Медико-социальная помощь, Медицинская оптика, Медицинская статистика, Медицинский массаж, Наркология, Общая практика, Операционное дело, Организация сестринского дела, Реабилитационное сестринское дело, Рентгенологи, Сестринское дело, Сестринское дело в косметологии, Сестринское дело в педиатрии, Скорая и неотложная помощь, Стоматология, Стоматология ортопедическая, Стоматология профилактическая, Судебно-медицинская экспертиза, Физиотерапия, Функциональная диагностика, Энтомология, Эпидемиология (паразитология);Подать заявку link=https://nmfo-spo.edu.rosminzdrav.ru/#/user-account/view-dpp/85ff1a53-af4b-6b2f-31d6-43258ee112f2
Среднее профессиональное;Кафедра гигиены и медицинской экологии;Характеристика, эпидемиология, профилактика особо опасных инфекционных заболеваний;повышение квалификации;Очная;08.02.2017-13.02.2027<br>12.04.2027-17.04.2027<br>21.06.2027-26.06.2027<br>20.09.2027-25.09.2027<br>22.11.2027-27.11.2027;36;Эпидемиология (паразитология), Акушерское дело, Анестезиология и реаниматология, Бактериология, Гигиена и санитария, Гигиеническое воспитание, Гистология, Дезинфекционное дело, Диетология, Лабораторная диагностика, Лабораторное дело, Лечебная физкультура, Лечебное дело, Медико-профилактическое дело, Медико-социальная помощь, Медицинская оптика, Медицинская статистика, Медицинский массаж, Наркология, Общая практика, Операционное дело, Организация сестринского дела, Реабилитационное сестринское дело, Рентгенология, Сестринское дело, Сестринское дело в косметологии, Сестринское дело в педиатрии, Скорая и неотложная помощь, Стоматология, Стоматология ортопедическая, Стоматология профилактическая, Судебно-медицинская экспертиза, Фармация, Физиотерапия, Функциональная диагностика, Энтомология;Подать заявку link=https://nmfo-spo.edu.rosminzdrav.ru/#/user-account/view-dpp/f8afa6cc-0224-5cde-4d84-987de845f98a
Высшее медицинское;Кафедра госпитальной терапии и эндокринологии;Гастроэнтерология;профессиональная переподготовка;Очная;01.02.2027-27.05.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/126d62df-cff8-3acf-3d81-b6adfa21ddd5
Высшее медицинское;Кафедра госпитальной терапии и эндокринологии;Кардиология;профессиональная переподготовка;Очная;15.02.2027-24.06.2027<br>17.09.2027-25.12.2027;762;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/303f1141-c3d0-6580-a9b7-9c8d03e9947e
Высшее медицинское;Кафедра госпитальной терапии и эндокринологии;Пульмонология;профессиональная переподготовка;Очная;01.02.2027-27.05.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/f6228436-7c80-bc9b-01b2-99b186d67646
Высшее медицинское;Кафедра госпитальной терапии и эндокринологии;Эндокринология;профессиональная переподготовка;Очная;01.02.2027-27.05.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=На утверждении
Высшее медицинское;Кафедра госпитальной терапии и эндокринологии;Гастроэнтерология;повышение квалификации;Очная;01.02.2027-01.03.2027;144;Гастроэнтерология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/10504f58-7e77-1d78-cd8f-95b1cc186c43
Высшее медицинское;Кафедра госпитальной терапии и эндокринологии;Кардиология;повышение квалификации;Очная;15.02.2027-16.03.2027;144;Кардиология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/475601d9-af9b-1993-a871-d0ae8f970b7f
Высшее медицинское;Кафедра госпитальной терапии и эндокринологии;Пульмонология;повышение квалификации;Очная;22.02.2027-23.03.2027;144;Пульмонология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/d5f2a0be-025c-44ee-838d-c432c6694e6f
Высшее медицинское;Кафедра госпитальной терапии и эндокринологии;Терапия;повышение квалификации;Очная;18.01.2027-13.02.2027<br>29.03.2027-24.04.2027<br>13.09.2027-09.10.2027;144;Терапия, Лечебное дело;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/a3a5b4ca-f638-24f9-faab-02f640bf3b7b
Высшее медицинское;Кафедра госпитальной терапии и эндокринологии;Эндокринология;повышение квалификации;Очная;29.03.2027-24.04.2027;144;Эндокринология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/2abc4275-b0ed-cda1-2099-7ee5d6f9c880
Высшее медицинское;Кафедра госпитальной терапии и эндокринологии;Актуальные вопросы диагностики и лечения сахарного диабета;повышение квалификации;Очная;12.04.2027-24.04.2027;72;Лечебное дело, Кардиология, Общая врачебная практика (семейная медицина), Терапия, Эндокринология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/3063a89b-021f-b458-dbb1-e7f7c99b2f3d
Высшее медицинское;Кафедра госпитальной терапии и эндокринологии;Актуальные вопросы диагностики, профилактики и лечения ожирения;повышение квалификации;Очная;19.04.2027-24.04.2027;36;Терапия, Эндокринология, Лечебное дело;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/a1e9de37-ed93-444f-bb29-85113a989b2c
Высшее медицинское;Кафедра госпитальной терапии и эндокринологии;Лечение основных заболеваний сердечно-сосудистой системы в практике врачей терапевтических специальностей;повышение квалификации;Очная;15.02.2027-20.02.2027;36;Терапия, Кардиология, Лечебное дело, Общая врачебная практика (семейная медицина);Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/dd223cb4-82a8-d5c6-24f6-81f8dda5e0f3
Высшее медицинское;Кафедра госпитальной терапии и эндокринологии;Оказание медицинской помощи больным, страдающим хронической сердечной недостаточностью;повышение квалификации;Очная;01.03.2027-06.03.2027;36;Кардиология, Лечебное дело, Общая врачебная практика (семейная медицина), Терапия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/168726b9-692d-2275-1410-aa74460aff28
Высшее медицинское;Кафедра госпитальной терапии и эндокринологии;Принципы ведения пациентов с основными некоронарогенными болезнями сердца;повышение квалификации;Очная;22.11.2027-27.11.2027;36;Кардиология, Лечебное дело, Общая врачебная практика (семейная медицина), Терапия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/591ca388-887b-1d6f-1902-335efc899b2c
Высшее медицинское;Кафедра детской хирургии;Детская урология-андрология;повышение квалификации;Очная;11.01.2027-06.02.2027<br>24.05.2027-19.06.2027<br>06.09.2027-02.10.2027<br>29.11.2027-25.12.2027;144;Детская урология-андрология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/8c7c5c3d-671f-82c5-a639-6c7d58e0985e
Высшее медицинское;Кафедра детской хирургии;Детская хирургия;повышение квалификации;Очная;11.01.2027-06.02.2027<br>24.05.2027-19.06.2027<br>06.09.2027-02.10.2027<br>29.11.2027-25.12.2027;144;Детская хирургия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/20dbf1d3-294d-5e73-9328-3fda16b96673
Высшее медицинское;Кафедра инфекционных болезней;Инфекционные болезни;профессиональная переподготовка;Очная;06.09.2027-25.12.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/4d63cf6e-ace5-7976-c379-30ce0ea4a129
Высшее медицинское;Кафедра инфекционных болезней;Инфекционные болезни;повышение квалификации;Очная;08.11.2027-04.12.2027;144;Инфекционные болезни;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/6c040959-eab7-030b-3f45-c03622d9c2fb
Высшее медицинское;Кафедра инфекционных болезней;Вирусные гепатиты и ВИЧ-инфекция: реализация мероприятий по противодействию;повышение квалификации;Очная;01.03.2027-06.03.2027<br>13.09.2027-18.09.2027<br>06.12.2027-11.12.2027;36;Инфекционные болезни, Лечебное дело, Общая врачебная практика (семейная медицина), Педиатрия, Педиатрия (после специалитета), Терапия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/569b8477-5f53-6c7d-5115-84ffb99e8833
Высшее медицинское;Кафедра клинической биохимии, микробиологии и лабораторной диагностики;Клиническая лабораторная диагностика;профессиональная переподготовка;Очная;06.09.2027-25.12.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/4095cab6-b5a1-65a7-40f0-c2a09d4e6333
Высшее медицинское;Кафедра клинической биохимии, микробиологии и лабораторной диагностики;Медицинская микробиология;профессиональная переподготовка;Очная;01.02.2027-26.05.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/f775be97-e13c-eb0d-f154-3892dfb4b25b
Высшее медицинское;Кафедра клинической биохимии, микробиологии и лабораторной диагностики;Клиническая лабораторная диагностика;повышение квалификации;Очная;01.03.2027-01.04.2027<br>04.10.2027-30.10.2027;144;Клиническая лабораторная диагностика, Медицинская биохимия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/777546e8-d710-9f2f-1979-643005cd7e2f
Высшее медицинское;Кафедра клинической биохимии, микробиологии и лабораторной диагностики;Клиническая микробиология. Антибиотикорезистентность.;повышение квалификации;Очная;05.04.2027-10.04.2027<br>15.11.2027-20.11.2027;36;Бактериология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/0bc886f2-f763-4e05-b538-c57ac8981ea3
Высшее немедицинское;Кафедра клинической биохимии, микробиологии и лабораторной диагностики;Клиническая лабораторная диагностика;повышение квалификации;Очная;01.03.2027-01.04.2027<br>04.10.2027-30.10.2027;144;Должность "Биолог";Подать заявку link=https://nmfo-nmd.edu.rosminzdrav.ru/#/user-account/view-dpp/3cbca6a8-e4ed-baaf-7ca5-b745b4e9e31c
Высшее медицинское;Кафедра клинической фармакологии;Клиническая фармакология;повышение квалификации;Очная;08.02.2027-09.03.2027;144;Клиническая фармакология, Терапия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/39f52afb-2e31-67b8-4ff0-bd491e2d2a53
Высшее медицинское;Кафедра кожных и венерических болезней;Дерматовенерология;повышение квалификации;Очная;07.06.2027-25.06.2027<br>06.09.2027-23.09.2027;144;Дерматовенерология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/680bfea8-68a1-5163-56b9-a09f5a4f6c51
Высшее медицинское;Кафедра лучевой диагностики, лучевой терапии и онкологии;Рентгенология;профессиональная переподготовка;Очная;18.08.2027-25.12.2027;990;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/67702b4e-6a31-0660-fd0c-bcd5a391477d
Высшее медицинское;Кафедра лучевой диагностики, лучевой терапии и онкологии;Онкология;профессиональная переподготовка;Очная;18.01.2027-03.11.2027;1176;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/9447f590-d3bc-0bf9-1c6c-f21c819de546
Высшее медицинское;Кафедра лучевой диагностики, лучевой терапии и онкологии;Радиотерапия;профессиональная переподготовка;Очная;01.09.2027-30.12.2027;910;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/4a15f392-f9fe-bb11-28b2-24046db4a6ae
